,address,bookmarks,categories,district,link,location,price_range,title
43,黃大仙飛鳳街46號地舖,2.5K,"['滬菜 (上海)', '大閘蟹']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E4%B8%8A%E6%B5%B7%E6%96%B0%E5%A4%A7%E7%9C%BE%E5%A4%A7%E9%96%98%E8%9F%B9%E5%B0%88%E9%96%80%E5%BA%97-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%BB%AC%E8%8F%9C-%E4%B8%8A%E6%B5%B7-%E5%A4%A7%E9%96%98%E8%9F%B9-r502576,Kowloon,$201-400,上海新大眾大閘蟹專門店
44,黃大仙飛鳳街46號地舖,2.2K,"['粵菜 (廣東)', '火鍋']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E8%BE%B2%E5%A0%B4%E7%83%A4%E9%AD%9A%E7%81%AB%E9%8D%8B%E5%B0%88%E9%96%80%E5%BA%97-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r583289,Kowloon,$51-100,農場烤魚火鍋專門店 Lung Cheung Hot-Pot & Grilled Fish
45,石硤尾南山村南山商場平台204-205及210-213號舖,17.4K,"['港式', '中菜館']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E5%93%81%E9%A6%99%E6%A8%93%E4%B8%AD%E8%A5%BF%E9%A2%A8%E5%91%B3%E9%A4%90%E5%BB%B3-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%B8%AF%E5%BC%8F-r7601,Kowloon,$101-200,品香樓中西風味餐廳 Ban Heung Lau
46,石硤尾白田街13號美葵樓地下G01號舖,14.3K,"['西式', '三文治']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-no-milkshake-no-life-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E8%A5%BF%E5%BC%8F-%E4%B8%89%E6%96%87%E6%B2%BB-r643655,Kowloon,$101-200,No Milkshake No Life (白田街)
47,石硤尾偉智街38號福田大廈地舖,8.7K,"['西式', '咖啡店']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-toolss-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E8%A5%BF%E5%BC%8F-r433301,Kowloon,$50以下,TOOLSS
48,石硤尾白田街30號賽馬會創意藝術中心1樓05室,8.7K,"['意大利菜', '麵包店']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E7%90%89%E9%87%91%E7%A9%97%E6%9C%88-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-%E9%BA%B5%E5%8C%85%E5%BA%97-r32149,Kowloon,$51-100,琉金穗月 Café Golden
49,石硤尾白田偉智街38號福田大廈地下55號,4.5K,"['港式', '車仔麵']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E8%82%A5%E5%93%A5%E8%BB%8A%E4%BB%94%E9%BA%B5-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%B8%AF%E5%BC%8F-%E8%BB%8A%E4%BB%94%E9%BA%B5-r21712,Kowloon,$50以下,肥哥車仔麵
50,石硤尾白田街30號賽馬會創意藝術中心1樓6室,2.7K,"['粵菜 (廣東)', '粉麵/米線']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E6%96%87%E5%8D%9A%E8%BB%92-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r31490,Kowloon,$50以下,文博軒 Heritage Tea House
51,石硤尾偉智里1-3號白田購物中心G25號舖,2.5K,"['港式', '車仔麵']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E6%9E%97%E8%A8%98%E5%B0%8F%E9%A3%9F-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%B8%AF%E5%BC%8F-%E7%B2%A5%E5%93%81-r144872,Kowloon,$50以下,林記小食
52,石硤尾南山村南山商場地下1號舖,2.1K,"['意大利菜', 'All Day Breakfast']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-casa-kitchen-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C-all-day-breakfast-r665457,Kowloon,$51-100,Casa Kitchen
53,石硤尾偉智里1-3號白田購物中心地下G94-G95號舖,1.9K,"['港式', '粉麵/米線']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E8%87%AA%E5%AE%B6%E9%A4%83%E5%AD%90-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%B8%AF%E5%BC%8F-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r471718,Kowloon,$50以下,自家餃子
54,石硤尾偉智里1-3號白田購物中心地下5號舖,1.6K,"['日本菜', '居酒屋']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E6%9C%A8%E8%98%AD%E9%A4%A8-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%97%A5%E6%9C%AC%E8%8F%9C-r606701,Kowloon,$50以下,木蘭館 Magnolia
55,石硤尾白田街13號石硤尾邨美葵樓地下G06號舖,1.4K,"['粵菜 (廣東)', '少鹽少糖食店']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E8%86%B3%E5%BF%83%E5%B0%8F%E9%A4%A8-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-r670306,Kowloon,$50以下,膳心小館 Agape Garden
56,石硤尾南山邨南豐樓104號地下,1.3K,"['港式', '點心']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E5%98%89%E6%B9%96-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%B8%AF%E5%BC%8F-%E9%BB%9E%E5%BF%83-r14070,Kowloon,$51-100,嘉湖
57,石硤尾石硤尾邨商場平台6號舖,1K,"['日本菜', '壽司/刺身']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E5%8E%9F%E9%87%8E%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E7%83%8F%E5%86%AC-r48692,Kowloon,$51-100,原野日本料理 Yuno
58,石硤尾偉智里1-3號白田購物中心地下83號舖,995,"['粵菜 (廣東)', '點心']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E6%98%8E%E8%88%88%E7%9F%B3%E7%A3%A8%E8%85%B8%E7%B2%89-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r603159,Kowloon,$50以下,明興石磨腸粉 Ming Hing Rice Noodle Roll
59,石硤尾偉智街38號福田大廈地下63號舖,889,"['越南菜', '串燒']",Shek Kip Mei,https://www.openrice.com/zh/hongkong/r-%E6%B5%B7%E9%98%B2%E4%B8%B2%E7%87%92%E8%B6%8A%E5%8D%97%E6%96%99%E7%90%86-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E8%B6%8A%E5%8D%97%E8%8F%9C-%E4%B8%B2%E7%87%92-r497758,Kowloon,$50以下,海防串燒越南料理
60,尖沙咀諾士佛臺1號7樓,31.3K,"['西式', '海鮮']",Knutsford Terrace,https://www.openrice.com/zh/hongkong/r-%E8%A0%94%E7%AB%99-%E5%B0%96%E6%B2%99%E5%92%80-%E8%A5%BF%E5%BC%8F-%E6%B5%B7%E9%AE%AE-r506145,Kowloon,$201-400,蠔站 (諾士佛臺) OS Oyster Station (Knutsford Terrace)
61,尖沙咀諾士佛臺1號8樓,31.2K,"['西式', '扒房']",Knutsford Terrace,https://www.openrice.com/zh/hongkong/r-oasis-bar-grill-%E5%B0%96%E6%B2%99%E5%92%80-%E8%A5%BF%E5%BC%8F-r670602,Kowloon,$201-400,Oasis Bar & Grill
62,尖沙咀金巴利道27-33號永利大廈地下20及22號舖,21.5K,"['韓國菜', '烤肉']",Knutsford Terrace,https://www.openrice.com/zh/hongkong/r-%E7%9F%B3%E7%89%86%E9%81%93%E9%9F%93%E5%9C%8B%E9%A4%90%E5%BB%B3-%E5%B0%96%E6%B2%99%E5%92%80-%E9%9F%93%E5%9C%8B%E8%8F%9C-%E7%83%A4%E8%82%89-r147665,Kowloon,$201-400,石牆道韓國餐廳 Dol Dam Gil Korean Restaurant
63,尖沙咀金巴利道35號金巴利中心地下A舖,18.7K,"['日本菜', '海鮮']",Knutsford Terrace,https://www.openrice.com/zh/hongkong/r-%E6%BC%81%E9%81%93%E6%A8%82-%E5%B0%96%E6%B2%99%E5%92%80-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r632112,Kowloon,$401-800,漁道樂 Ryou Dou Raku
